,EloDiff,HomeElo,AwayElo,HomeFormPoints_5,AwayFormPoints_5,SeasonEncoded,SeasonYear,Month,Date
0,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,19
1,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,19
2,0.0,1500.0,1500.0,0.0,3.0,0,2000,8,19
3,0.0,1500.0,1500.0,1.0,1.0,0,2000,8,19
4,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,19
5,0.0,1500.0,1500.0,1.0,1.0,0,2000,8,19
6,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,19
7,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,19
8,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,19
9,0.0,1500.0,1500.0,3.0,0.0,0,2000,8,20
10,-20.0,1490.0,1510.0,1.5,1.5,0,2000,8,21
11,-20.0,1490.0,1510.0,1.5,1.5,0,2000,8,22
12,-20.0,1490.0,1510.0,0.5,2.0,0,2000,8,22
13,0.0,1510.0,1510.0,2.0,2.0,0,2000,8,22
14,-20.0,1490.0,1510.0,1.5,1.5,0,2000,8,23
15,10.0,1500.0,1490.0,0.5,1.5,0,2000,8,23
16,-20.0,1490.0,1510.0,1.5,1.5,0,2000,8,23
17,-10.0,1490.0,1500.0,0.0,2.0,0,2000,8,23
18,-10.0,1490.0,1500.0,1.5,0.5,0,2000,8,23
19,-9.712256316679941,1500.28774368332,1510.0,2.0,1.3333333333333333,0,2000,8,26
20,-9.712732405474753,1489.71225631668,1499.4249887221547,0.6666666666666666,1.3333333333333333,0,2000,8,26
21,1.1500225556906116,1500.5750112778453,1499.4249887221547,2.0,1.0,0,2000,8,26
22,-9.137245038834635,1500.5750112778453,1509.71225631668,1.3333333333333333,1.6666666666666667,0,2000,8,26
23,10.862754961165365,1500.5750112778453,1489.71225631668,1.3333333333333333,0.6666666666666666,0,2000,8,26
24,-8.849977444309388,1490.5750112778453,1499.4249887221547,1.3333333333333333,1.0,0,2000,8,26
25,0.28726759452524675,1500.5750112778453,1500.28774368332,1.0,2.0,0,2000,8,26
26,0.0,1510.0,1510.0,1.3333333333333333,3.0,0,2000,8,26
27,-29.137245038834635,1480.28774368332,1509.4249887221547,0.3333333333333333,1.6666666666666667,0,2000,8,26
28,0.5750112778453058,1500.0,1499.4249887221547,1.0,1.3333333333333333,0,2000,8,27
29,29.43325694628129,1520.0,1490.5667430537187,2.0,1.5,0,2000,9,5
30,7.7503702460087425,1508.5883119613736,1500.8379417153649,2.0,1.0,0,2000,9,5
31,8.04590052826552,1489.1703209723667,1481.1244204441011,1.0,0.5,0,2000,9,5
32,-0.5419263106136896,1499.7205315838,1500.2624578944137,1.75,1.0,0,2000,9,5
33,-11.100372226811487,1499.4415388620023,1510.5419110888138,1.25,1.75,0,2000,9,6
34,-0.5336495139276849,1489.4580889111862,1489.991738425114,1.0,0.75,0,2000,9,6
35,-0.27120019207336554,1510.2960119074467,1510.56721209952,1.5,2.25,0,2000,9,6
36,-9.975190299888482,1490.0248097001115,1500.0,0.75,1.25,0,2000,9,6
37,-0.8379432464316778,1499.1455066137207,1499.9834498601524,1.75,0.6666666666666666,0,2000,9,6
38,8.619646851527023,1509.4493258791604,1500.8296790276333,2.0,1.0,0,2000,9,6
39,-19.161547050669014,1491.0609783083194,1510.2225253589884,1.0,1.6,0,2000,9,9
40,-8.851045903620843,1500.3038176748548,1509.1548635784757,1.4,1.75,0,2000,9,9
41,1.1183895571768971,1491.0777215187418,1489.9593319615649,0.8,1.25,0,2000,9,9
42,29.224904618555,1519.201283388052,1489.976378769497,2.2,0.6,0,2000,9,9
43,7.757745037065206,1509.1696245123082,1501.411879475243,2.0,1.2,0,2000,9,9
44,29.426492639587877,1518.3652753684191,1488.9387827288313,2.2,0.8,0,2000,9,9
45,9.466109793472697,1499.712969807482,1490.2468600140094,1.0,1.4,0,2000,9,9
46,20.79848174028416,1520.5594063321118,1499.7609245918277,2.0,1.2,0,2000,9,9
47,0.838391325826251,1490.3118398926295,1489.4734485668032,0.8,1.0,0,2000,9,10
48,28.380170776567866,1509.7361294642044,1481.3559586876365,2.0,0.4,0,2000,9,11
49,-29.42351506303703,1489.4975793620774,1518.9210944251145,1.0,1.4,0,2000,9,16
50,8.379588218891513,1499.9915216894146,1491.6119334705231,1.6,1.0,0,2000,9,16
51,-39.1459310962191,1480.815560860832,1519.961491957051,1.0,2.0,0,2000,9,16
52,9.113054039358076,1509.6715701967846,1500.5585161574265,2.2,1.4,0,2000,9,16
53,27.85463330501193,1508.900165095904,1481.045531790892,1.4,1.4,0,2000,9,16
54,-10.50398324911339,1479.7837258482418,1490.2877090973552,0.8,0.6,0,2000,9,16
55,-27.001083090909788,1500.5192491580988,1527.5203322490086,1.4,2.2,0,2000,9,16
56,-28.00326232982843,1500.3588389668885,1528.362101296717,0.6,2.6,0,2000,9,17
57,2.194547562662592,1491.6351282260553,1489.4405806633927,1.4,0.6,0,2000,9,17
58,-46.775382034769564,1472.1709937267265,1518.946375761496,0.6,1.6,0,2000,9,17
59,27.522184859887602,1517.6081475700146,1490.085962710127,1.8,1.0,0,2000,9,23
60,-10.084456987451176,1481.853070652563,1491.9375276400142,0.4,1.6,0,2000,9,23
61,17.311528883881238,1490.8207508020892,1473.509221918208,0.8,1.2,0,2000,9,23
62,-18.114685366344702,1479.98547223547,1498.1001576018148,0.8,1.0,0,2000,9,23
63,45.58164259804289,1536.7447394215199,1491.163096823477,2.2,0.8,0,2000,9,23
64,-20.246640527695263,1489.5037439796795,1509.7503845073747,0.6,1.6,0,2000,9,23
65,8.497087786136717,1508.8395251778688,1500.3424373917321,1.4,1.6,0,2000,9,23
66,16.504271485691334,1508.0762363954598,1491.5719649097684,1.4,1.0,0,2000,9,23
67,-27.563796267140788,1491.8455392849812,1519.409335552122,1.4,1.8,0,2000,9,23
68,46.26300145454093,1537.5578434401284,1491.2948419855875,2.2,1.0,0,2000,9,24
69,28.661915243083286,1509.1682981060994,1480.5063828630161,2.0,0.6,0,2000,9,30
70,-10.022315290099414,1497.5792469742687,1507.601562264368,1.0,1.4,0,2000,9,30
71,-0.018644899960008843,1492.6185839363318,1492.6372288362918,0.8,1.4,0,2000,9,30
72,11.863832661599872,1484.0070758352786,1472.1432431736787,1.2,0.4,0,2000,9,30
73,-6.548369039745012,1492.04663904086,1498.595008080605,1.0,1.4,0,2000,9,30
74,11.561524737943728,1501.6473551188985,1490.0858303809548,1.4,1.2,0,2000,9,30
75,30.264057603977335,1510.5869544889958,1480.3228968850185,1.8,0.4,0,2000,9,30
76,-16.822623889095212,1518.6176460008114,1535.4402698899066,1.8,2.0,0,2000,10,1
77,-24.350081840788107,1492.4675663550902,1516.8176481958783,1.2,1.6,0,2000,10,1
78,-45.357639405120835,1490.8764620842633,1536.234101489384,1.2,2.2,0,2000,10,1
79,18.970952254107033,1502.6366921929334,1483.6657399388264,1.6,1.2,0,2000,10,14
80,10.7562537930919,1529.1014620049789,1518.345208211887,2.2,2.0,0,2000,10,14
81,-8.695589882481045,1482.6191205796902,1491.3147104621712,1.0,1.4,0,2000,10,14
82,-16.121406794329687,1481.191770034016,1497.3131768283456,1.0,0.8,0,2000,10,14
83,-1.8504489297072269,1507.8676324102912,1509.7180813399984,1.6,1.6,0,2000,10,14
84,9.750514867578431,1482.2350939377093,1472.4845790701308,1.0,0.4,0,2000,10,14
85,-10.992679322821232,1492.174593463932,1503.1672727867533,1.6,1.0,0,2000,10,14
86,9.979516223976134,1534.9359701097153,1524.9564538857392,1.6,2.0,0,2000,10,14
87,-34.78846900698659,1471.3294727572286,1506.1179417642152,0.4,1.6,0,2000,10,15
88,-7.9880781460738035,1500.4184750376821,1508.406553183756,1.0,1.4,0,2000,10,16
89,-39.32605851008202,1462.7651477925103,1502.0912063025924,0.2,2.2,0,2000,10,21
90,9.01647173699098,1499.6648216420833,1490.6483499050923,2.0,1.0,0,2000,10,21
91,-9.528833461472686,1515.1199820482445,1524.6488155097172,1.6,1.0,0,2000,10,21
92,1.195534884618155,1492.8509835765572,1491.655448691939,1.4,0.8,0,2000,10,21
93,24.522065697223297,1486.8494981704225,1462.3274324731992,0.8,0.2,0,2000,10,21
94,35.3073307861132,1518.1766783163457,1482.8693475302325,1.2,1.0,0,2000,10,21
95,17.322716377530924,1535.2436084857372,1517.9208921082063,2.0,1.4,0,2000,10,21
96,-54.580745177120434,1484.2112258291675,1538.791971006288,1.2,2.6,0,2000,10,21
97,6.163816536449758,1508.654699210578,1502.4908826741282,1.6,1.8,0,2000,10,22
98,-0.8900417037009447,1491.0644835116289,1491.9545252153298,1.4,1.6,0,2000,10,23
99,20.978414148700494,1502.66827296487,1481.6898588161696,1.8,0.8,0,2000,10,28
100,-31.394546558014326,1475.7693889457387,1507.163935503753,1.6,1.2,0,2000,10,28
101,45.30490007783692,1547.2338078897167,1501.9289078118798,2.6,1.4,0,2000,10,28
102,-0.928056048256849,1508.477308919836,1509.405364968093,1.6,1.4,0,2000,10,28
103,6.67170740074198,1502.8165734523266,1496.1448660515846,2.0,0.8,0,2000,10,28
104,30.05631402159065,1510.9641206006734,1480.9078065790827,2.2,0.8,0,2000,10,28
105,61.34255778967645,1514.3746223817136,1453.0320645920372,1.0,0.2,0,2000,10,28
106,63.65533245026086,1544.7454333653397,1481.090100915079,2.0,0.8,0,2000,10,28
107,-54.52683373417449,1453.8922334944293,1508.4190672286038,0.4,1.6,0,2000,10,29
108,31.512084833422932,1525.3941751762482,1493.8820903428252,2.0,1.0,0,2000,10,29
109,43.92977087980171,1499.3786534313456,1455.4488825515439,1.4,0.4,0,2000,11,4
110,-80.64058096422764,1472.2929333874529,1552.9335143516805,0.8,2.4,0,2000,11,4
111,-27.627245204042993,1506.8624181714893,1534.4896633755322,2.0,1.8,0,2000,11,4
112,-29.401614956977937,1493.2255467821176,1522.6271617390955,1.2,1.4,0,2000,11,4
113,-84.16642369948659,1471.7707452199922,1555.9371689194788,0.6,3.0,0,2000,11,4
114,-23.8384028085909,1496.262779151173,1520.1011819597638,1.8,2.0,0,2000,11,4
115,-39.72254994801483,1472.9020199287381,1512.624569876753,0.8,1.8,0,2000,11,4
116,-25.728328766428604,1486.3368696271582,1512.0651983935868,1.2,1.6,0,2000,11,4
117,-33.717418313042344,1484.7866021435411,1518.5040204565835,0.8,2.0,0,2000,11,5
118,-41.89102006366352,1444.7795252346552,1486.6705452983188,0.2,1.2,0,2000,11,6
119,1.2951840299942887,1509.4161322309606,1508.1209482009663,2.0,1.2,0,2000,11,11
120,30.460550519135495,1527.5365903366537,1497.0760398175182,2.0,1.2,0,2000,11,11
121,-29.0474444815477,1446.7065877819232,1475.754032263471,0.2,1.4,0,2000,11,11
122,117.58152964461601,1563.5609663673943,1445.9794367227782,2.6,0.4,0,2000,11,11
123,24.835100669276017,1531.7829295492522,1506.9478288799762,1.4,1.4,0,2000,11,11
124,96.50634407971279,1560.6532918517896,1464.1469477720768,3.0,0.0,0,2000,11,11
125,1.4008548382348636,1485.4706338101957,1484.069778971961,1.6,1.2,0,2000,11,11
126,17.285657053943396,1501.3260282032268,1484.0403711492834,1.6,1.0,0,2000,11,11
127,-16.1697038013765,1501.4862186562077,1517.6559224575842,1.4,1.6,0,2000,11,12
128,59.123003202093514,1523.6961590894373,1464.5731558873438,2.4,0.6,0,2000,11,12
129,-75.38032197476718,1484.9199221325453,1560.3002441073124,1.8,2.0,0,2000,11,18
130,-3.793057994816081,1498.158226421286,1501.951284416102,1.8,1.4,0,2000,11,18
131,11.699461070011239,1449.24015898286,1437.5406979128488,1.0,0.2,0,2000,11,18
132,21.760542512353368,1517.19085669769,1495.4303141853366,1.0,2.0,0,2000,11,18
133,-93.83481650604313,1474.11009859682,1567.9449151028632,0.6,3.0,0,2000,11,18
134,6.832508469074355,1507.661425563426,1500.8289170943517,0.8,1.6,0,2000,11,18
135,-52.12462238099556,1484.5374822581584,1536.662104639154,1.4,2.0,0,2000,11,18
136,-74.21400834479914,1456.8553245210032,1531.0693328658024,0.0,2.0,0,2000,11,18
137,-44.06017444862482,1487.950525515018,1532.0106999636428,1.8,1.8,0,2000,11,19
138,-63.12023899750261,1456.2586150131383,1519.378854010641,0.0,2.4,0,2000,11,20
139,-77.11735871352244,1448.0556342831744,1525.1729929966968,0.2,2.0,0,2000,11,25
140,-2.758152079964475,1508.267395069091,1511.0255471490555,1.2,2.0,0,2000,11,25
141,-116.40438942246624,1458.9035486449816,1575.3079380674478,1.0,3.0,0,2000,11,25
142,5.214012293616861,1497.0561280619138,1491.842115768297,1.8,0.8,0,2000,11,25
143,-60.834759108369326,1466.7470756322355,1527.5818347406048,0.0,2.4,0,2000,11,25
144,21.082162013706693,1448.959470264434,1427.8773082507273,0.2,0.4,0,2000,11,25
145,-39.75326260589577,1499.2119245164758,1538.9651871223716,1.8,2.0,0,2000,11,25
146,-10.029221363409533,1496.0265939006156,1506.0558152640251,1.4,2.6,0,2000,11,25
147,-41.59868255894253,1506.5653556190014,1548.164038177944,1.6,1.4,0,2000,11,26
148,-23.284505453462543,1497.4647955087223,1520.7493009621849,1.4,1.2,0,2000,11,26
149,50.65724258512114,1536.972420529102,1486.3151779439809,1.4,1.4,0,2000,12,2
150,14.855148048416822,1522.989123935635,1508.1339758872182,1.6,1.6,0,2000,12,2
151,-21.75614533272733,1428.483358011509,1450.2395033442363,0.8,0.2,0,2000,12,2
152,83.71458799506195,1535.8485470232808,1452.133959028219,1.8,1.6,0,2000,12,2
153,10.068990116427813,1527.825963384271,1517.7569732678433,2.0,1.4,0,2000,12,2
154,11.733341183933135,1510.080120583689,1498.3467793997559,1.2,1.2,0,2000,12,2
155,71.72637942963411,1582.0775276842105,1510.3511482545764,3.0,1.8,0,2000,12,2
156,67.41381071700744,1515.7672312206598,1448.3534205036524,2.6,0.2,0,2000,12,2
157,23.511812490968396,1481.9921758405278,1458.4803633495594,0.8,0.0,0,2000,12,3
158,14.040094828707652,1520.9461628183906,1506.906067989683,2.0,1.8,0,2000,12,4
